Business ID,Annual Revenue,Loan Amount,GST Compliance (%),Past Defaults,Bank Transactions,Market Trend,Credit Score,financial_health,repayment_history,credit_utilization,industry_risk
10066,5700000,1540000,80,0,Unstable,1,816,60.57142857,100,27.01754386,90
10067,8600000,1000000,75,0,High Volume,2,652,65.85714286,100,11.62790698,70
10068,2900000,2710000,85,0,Low Volume,1,445,55.57142857,100,93.44827586,90
10069,6300000,1150000,85,0,High Volume,1,806,65.28571429,100,18.25396825,90
10070,5600000,890000,75,0,Low Volume,0,485,57.28571429,100,15.89285714,50
10071,4500000,480000,75,0,High Volume,2,689,54.14285714,100,10.66666667,70
10072,5500000,1660000,65,0,High Volume,1,806,51,100,30.18181818,90
10073,6200000,1280000,95,0,High Volume,2,770,71,100,20.64516129,70
10074,6000000,410000,85,0,High Volume,1,713,64.42857143,100,6.833333333,90
10075,9600000,400000,95,1,Low Volume,1,664,80.71428571,80,4.166666667,90
10076,5200000,1450000,75,0,High Volume,2,795,56.14285714,100,27.88461538,70
10077,5000000,1060000,70,0,Low Volume,1,537,52.57142857,100,21.2,90
10078,4700000,1340000,65,2,Low Volume,0,567,48.71428571,60,28.5106383,50
10079,5900000,1210000,85,0,Unstable,2,838,64.14285714,100,20.50847458,70
10080,5000000,800000,65,0,High Volume,0,688,49.57142857,100,16,50
10081,5000000,460000,100,0,Unstable,2,632,70.57142857,100,9.2,70
10082,5000000,1240000,60,0,Low Volume,2,594,46.57142857,100,24.8,70
10083,4800000,1880000,85,0,Low Volume,2,597,61,100,39.16666667,70
10084,4200000,380000,100,0,Low Volume,1,662,68.28571429,100,9.047619048,90
10085,5700000,1060000,90,0,High Volume,2,722,66.57142857,100,18.59649123,70
10086,4600000,1770000,85,0,Low Volume,1,737,60.42857143,100,38.47826087,90
10087,6000000,1430000,65,0,Low Volume,1,812,52.42857143,100,23.83333333,90
10088,5200000,1430000,60,0,Low Volume,2,413,47.14285714,100,27.5,70
10089,4500000,830000,90,1,High Volume,2,410,63.14285714,80,18.44444444,70
10090,8000000,780000,100,0,Low Volume,0,850,79.14285714,100,9.75,50
10091,4800000,90000,75,0,Unstable,1,643,55,100,1.875,90
10092,6000000,960000,65,0,Low Volume,2,645,52.42857143,100,16,70
10093,4100000,230000,50,0,Low Volume,0,630,38,100,5.609756098,50
10094,2700000,1630000,65,0,Low Volume,1,579,43,100,60.37037037,90
10095,4200000,810000,80,0,Unstable,1,824,56.28571429,100,19.28571429,90
10096,2600000,460000,100,0,Low Volume,1,759,63.71428571,100,17.69230769,90
10097,4700000,1620000,90,0,Low Volume,0,589,63.71428571,100,34.46808511,50
10098,7800000,490000,85,0,High Volume,1,712,69.57142857,100,6.282051282,90
10099,3800000,620000,75,0,Low Volume,1,653,52.14285714,100,16.31578947,90
10100,2700000,950000,70,0,High Volume,2,561,46,100,35.18518519,70
10101,7800000,850000,100,0,Low Volume,0,850,78.57142857,100,10.8974359,50
10102,4300000,1050000,85,0,Low Volume,0,644,59.57142857,100,24.41860465,50
10103,5000000,990000,50,0,Low Volume,2,478,40.57142857,100,19.8,70
10104,6300000,750000,70,0,Low Volume,0,665,56.28571429,100,11.9047619,50
10105,5800000,1130000,65,0,High Volume,1,828,51.85714286,100,19.48275862,90
10106,6300000,1300000,70,0,High Volume,1,802,56.28571429,100,20.63492063,90
10107,6600000,1030000,90,0,High Volume,0,616,69.14285714,100,15.60606061,50
10108,3000000,1100000,80,0,Unstable,2,467,52.85714286,100,36.66666667,70
10109,3300000,510000,80,0,Low Volume,1,819,53.71428571,100,15.45454545,90
10110,7100000,1020000,100,1,Low Volume,2,499,76.57142857,80,14.36619718,70
10111,4000000,350000,70,0,High Volume,2,708,49.71428571,100,8.75,70
10112,4100000,2220000,100,0,High Volume,0,605,68,100,54.14634146,50
10113,3400000,1000000,70,0,Low Volume,0,724,48,100,29.41176471,50
10114,4400000,800000,80,1,High Volume,2,528,56.85714286,80,18.18181818,70
10115,4500000,860000,75,0,Low Volume,0,539,54.14285714,100,19.11111111,50
10116,3800000,1410000,80,0,High Volume,2,724,55.14285714,100,37.10526316,70
10117,3600000,1800000,85,0,Unstable,2,658,57.57142857,100,50,70
10118,5500000,440000,85,0,High Volume,2,845,63,100,8,70
10119,3900000,330000,70,0,Low Volume,2,688,49.42857143,100,8.461538462,70
10120,4200000,1920000,65,0,High Volume,1,685,47.28571429,100,45.71428571,90
10121,2600000,430000,100,0,High Volume,1,846,63.71428571,100,16.53846154,90
10122,8900000,550000,75,0,Low Volume,2,541,66.71428571,100,6.179775281,70
10123,6600000,1530000,90,0,Low Volume,1,617,69.14285714,100,23.18181818,90
10124,4300000,560000,55,1,Unstable,1,405,41.57142857,80,13.02325581,90
10125,3800000,1690000,75,0,Low Volume,1,371,52.14285714,100,44.47368421,90
10126,5000000,1580000,80,0,Low Volume,1,753,58.57142857,100,31.6,90
10127,5000000,590000,85,0,Low Volume,2,816,61.57142857,100,11.8,70
10128,3400000,790000,50,0,High Volume,1,694,36,100,23.23529412,90
10129,2300000,1120000,80,0,Unstable,1,626,50.85714286,100,48.69565217,90
10130,4300000,860000,65,0,High Volume,2,660,47.57142857,100,20,70
10131,3100000,660000,85,0,Low Volume,0,635,56.14285714,100,21.29032258,50
10132,5300000,1450000,65,0,High Volume,1,844,50.42857143,100,27.35849057,90
10133,5300000,790000,65,0,High Volume,1,842,50.42857143,100,14.90566038,90
10134,3700000,1470000,75,0,High Volume,0,565,51.85714286,100,39.72972973,50
10135,4300000,150000,65,0,Low Volume,1,774,47.57142857,100,3.488372093,90
10136,8500000,1910000,75,0,High Volume,0,788,65.57142857,100,22.47058824,50
10137,6300000,920000,60,0,Low Volume,1,717,50.28571429,100,14.6031746,90
10138,4400000,1200000,55,0,Low Volume,1,658,41.85714286,100,27.27272727,90
10139,9900000,900000,95,1,High Volume,1,761,81.57142857,80,9.090909091,90
10140,3500000,420000,60,0,Unstable,1,442,42.28571429,100,12,90
10141,3900000,780000,75,0,Low Volume,0,457,52.42857143,100,20,50
10142,4800000,2130000,90,0,Unstable,0,653,64,100,44.375,50
10143,3200000,790000,70,1,Low Volume,0,436,47.42857143,80,24.6875,50
10144,8600000,860000,70,0,High Volume,0,529,62.85714286,100,10,50
10145,5300000,1600000,85,0,Low Volume,0,424,62.42857143,100,30.18867925,50
10146,3900000,1440000,95,0,Low Volume,2,615,64.42857143,100,36.92307692,70
10147,5700000,560000,60,0,High Volume,0,671,48.57142857,100,9.824561404,50
10148,5200000,520000,80,0,High Volume,1,766,59.14285714,100,10,90
10149,4600000,1700000,55,0,High Volume,1,726,42.42857143,100,36.95652174,90
10150,3500000,1300000,75,0,High Volume,2,611,51.28571429,100,37.14285714,70
10151,3200000,2350000,80,0,High Volume,0,608,53.42857143,100,73.4375,50
10152,9600000,650000,65,0,Unstable,2,696,62.71428571,100,6.770833333,70
10153,3300000,960000,75,0,Low Volume,0,649,50.71428571,100,29.09090909,50
10154,8300000,810000,60,0,Low Volume,2,583,56,100,9.759036145,70
10155,3900000,630000,80,0,Low Volume,2,683,55.42857143,100,16.15384615,70
10156,6300000,760000,95,0,Low Volume,0,476,71.28571429,100,12.06349206,50
10157,5700000,2240000,65,0,High Volume,1,664,51.57142857,100,39.29824561,90
10158,6100000,2950000,70,0,Low Volume,0,525,55.71428571,100,48.36065574,50
10159,6200000,560000,90,0,Low Volume,2,844,68,100,9.032258065,70
10160,3100000,570000,100,0,Low Volume,2,589,65.14285714,100,18.38709677,70
10161,4100000,770000,60,0,High Volume,0,628,44,100,18.7804878,50
10162,3300000,0,75,0,Low Volume,2,614,50.71428571,100,0,70
10163,5300000,1510000,85,0,Low Volume,2,602,62.42857143,100,28.49056604,70
10164,3400000,730000,80,0,High Volume,2,713,54,100,21.47058824,70
10165,2800000,2070000,50,0,High Volume,1,543,34.28571429,100,73.92857143,90
10166,4700000,1750000,90,0,Low Volume,2,841,63.71428571,100,37.23404255,70
10167,2600000,1030000,100,0,High Volume,1,521,63.71428571,100,39.61538462,90
10168,5400000,1980000,80,0,Low Volume,0,678,59.71428571,100,36.66666667,50
10169,3400000,560000,65,0,Unstable,1,587,45,100,16.47058824,90
10170,3900000,320000,70,0,Low Volume,2,636,49.42857143,100,8.205128205,70
10171,2500000,810000,100,0,Unstable,0,625,63.42857143,100,32.4,50
10172,8200000,260000,95,3,Unstable,0,593,76.71428571,40,3.170731707,50
10173,3200000,760000,90,2,High Volume,2,619,59.42857143,60,23.75,70
10174,4500000,570000,85,0,Low Volume,2,770,60.14285714,100,12.66666667,70
10175,2900000,1430000,70,0,High Volume,1,655,46.57142857,100,49.31034483,90
10176,3900000,2660000,75,0,Low Volume,1,513,52.42857143,100,68.20512821,90
10177,8500000,350000,80,0,Unstable,1,654,68.57142857,100,4.117647059,90
10178,5500000,130000,90,2,High Volume,2,740,66,60,2.363636364,70
10179,4000000,840000,100,0,Unstable,1,623,67.71428571,100,21,90
10180,4900000,2980000,95,0,High Volume,2,565,67.28571429,100,60.81632653,70
10181,4200000,1420000,60,0,High Volume,1,714,44.28571429,100,33.80952381,90
10182,4900000,540000,85,0,High Volume,2,737,61.28571429,100,11.02040816,70
10183,6300000,590000,90,0,Low Volume,2,615,68.28571429,100,9.365079365,70
10184,4500000,1440000,90,0,Low Volume,0,612,63.14285714,100,32,50
10185,5300000,1400000,70,0,High Volume,1,667,53.42857143,100,26.41509434,90
10186,5400000,30000,100,0,Unstable,1,692,71.71428571,100,0.555555556,90
10187,4500000,980000,60,0,High Volume,1,730,45.14285714,100,21.77777778,90
10188,4000000,1080000,65,0,Unstable,1,547,46.71428571,100,27,90
10189,4300000,390000,85,0,Unstable,2,692,59.57142857,100,9.069767442,70
10190,6200000,1010000,100,0,High Volume,1,706,74,100,16.29032258,90
10191,6300000,570000,65,0,Low Volume,1,834,53.28571429,100,9.047619048,90
10192,3600000,1370000,75,0,High Volume,0,794,51.57142857,100,38.05555556,50
10193,4600000,1380000,95,0,Low Volume,2,587,66.42857143,100,30,70
10194,4000000,420000,80,0,Low Volume,1,562,55.71428571,100,10.5,90
10195,6400000,80000,75,0,Low Volume,1,794,59.57142857,100,1.25,90
10196,4300000,910000,90,0,Unstable,1,671,62.57142857,100,21.1627907,90
10197,9700000,1060000,85,0,Low Volume,2,753,75,100,10.92783505,70
10198,5300000,880000,95,0,High Volume,2,654,68.42857143,100,16.60377358,70
10199,7100000,590000,100,0,Unstable,2,654,76.57142857,100,8.309859155,70
10200,3700000,940000,85,0,High Volume,1,674,57.85714286,100,25.40540541,90
10201,5000000,970000,85,0,High Volume,2,726,61.57142857,100,19.4,70
10202,6000000,940000,85,0,High Volume,2,580,64.42857143,100,15.66666667,70
10203,3700000,1660000,85,0,Low Volume,2,624,57.85714286,100,44.86486486,70
10204,5000000,2110000,80,0,Low Volume,0,482,58.57142857,100,42.2,50
10205,6900000,1270000,80,0,Unstable,1,590,64,100,18.4057971,90
10206,4500000,960000,100,0,Low Volume,1,706,69.14285714,100,21.33333333,90
10207,3900000,1930000,100,0,High Volume,0,716,67.42857143,100,49.48717949,50
10208,8600000,910000,55,0,High Volume,1,746,53.85714286,100,10.58139535,90
10209,3500000,590000,80,0,Low Volume,1,752,54.28571429,100,16.85714286,90
10210,5200000,4810000,70,0,Unstable,2,365,53.14285714,100,92.5,70
10211,4000000,1330000,75,0,High Volume,2,783,52.71428571,100,33.25,70
10212,3800000,730000,85,0,Low Volume,0,570,58.14285714,100,19.21052632,50
10213,6200000,1330000,90,0,Unstable,1,597,68,100,21.4516129,90
10214,4700000,1560000,80,0,High Volume,1,722,57.71428571,100,33.19148936,90
10215,5600000,1040000,50,0,Low Volume,1,591,42.28571429,100,18.57142857,90
10216,2500000,1700000,65,0,High Volume,2,631,42.42857143,100,68,70
10217,5800000,850000,95,0,Low Volume,1,774,69.85714286,100,14.65517241,90
10218,4000000,670000,50,0,High Volume,2,547,37.71428571,100,16.75,70
10219,2800000,610000,100,0,Low Volume,1,689,64.28571429,100,21.78571429,90
10220,8800000,420000,90,0,High Volume,1,749,75.42857143,100,4.772727273,90
10221,6000000,4770000,100,0,High Volume,2,766,73.42857143,100,79.5,70
10222,5400000,480000,75,0,Unstable,0,537,56.71428571,100,8.888888889,50
10223,7300000,1170000,50,0,High Volume,0,565,47.14285714,100,16.02739726,50
10224,5400000,280000,85,0,Low Volume,0,555,62.71428571,100,5.185185185,50
10225,3900000,2020000,100,0,Unstable,2,517,67.42857143,100,51.79487179,70
10226,4700000,710000,95,0,High Volume,1,608,66.71428571,100,15.10638298,90
10227,4100000,800000,70,0,High Volume,1,616,50,100,19.51219512,90
10228,4300000,770000,80,0,Low Volume,2,813,56.57142857,100,17.90697674,70
10229,3400000,990000,70,0,Unstable,1,662,48,100,29.11764706,90
10230,3700000,1950000,70,1,Unstable,1,649,48.85714286,80,52.7027027,90
10231,6500000,1410000,95,0,High Volume,1,651,71.85714286,100,21.69230769,90
10232,5500000,1380000,60,0,Unstable,2,368,48,100,25.09090909,70
10233,4300000,480000,65,0,Low Volume,1,687,47.57142857,100,11.1627907,90
10234,3700000,680000,65,0,Unstable,1,780,45.85714286,100,18.37837838,90
10235,4400000,2720000,60,0,Low Volume,2,522,44.85714286,100,61.81818182,70
10236,3000000,2600000,80,0,Low Volume,1,614,52.85714286,100,86.66666667,90
10237,5200000,130000,95,0,High Volume,2,577,68.14285714,100,2.5,70
10238,6600000,1730000,75,0,High Volume,2,680,60.14285714,100,26.21212121,70
10239,10200000,830000,55,0,Low Volume,1,655,58.42857143,100,8.137254902,90
10240,3600000,1990000,95,0,Low Volume,2,433,63.57142857,100,55.27777778,70
10241,6600000,680000,100,0,Low Volume,1,634,75.14285714,100,10.3030303,90
10242,4000000,560000,70,0,Low Volume,2,524,49.71428571,100,14,70
10243,3600000,1680000,75,0,Low Volume,2,453,51.57142857,100,46.66666667,70
10244,3600000,1880000,90,0,Low Volume,0,538,60.57142857,100,52.22222222,50
10245,5200000,920000,100,0,Low Volume,2,749,71.14285714,100,17.69230769,70
10246,3800000,870000,70,0,Unstable,1,538,49.14285714,100,22.89473684,90
10247,4200000,570000,60,0,High Volume,2,762,44.28571429,100,13.57142857,70
10248,4400000,170000,90,0,Low Volume,1,677,62.85714286,100,3.863636364,90
10249,4000000,2850000,90,0,Unstable,2,601,61.71428571,100,71.25,70
10250,3900000,1430000,80,0,High Volume,1,738,55.42857143,100,36.66666667,90
10251,2400000,310000,70,0,Low Volume,2,782,45.14285714,100,12.91666667,70
10252,5100000,1050000,95,0,Low Volume,1,638,67.85714286,100,20.58823529,90
10253,5100000,1790000,90,0,Low Volume,2,705,64.85714286,100,35.09803922,70
10254,3900000,390000,70,0,Low Volume,2,545,49.42857143,100,10,70
10255,5600000,320000,80,2,Low Volume,1,769,60.28571429,60,5.714285714,90
10256,7600000,360000,60,0,High Volume,0,544,54,100,4.736842105,50
10257,5000000,1320000,90,0,High Volume,2,737,64.57142857,100,26.4,70
10258,7500000,480000,75,2,High Volume,1,782,62.71428571,60,6.4,90
10259,9800000,220000,75,0,Low Volume,1,592,69.28571429,100,2.244897959,90
10260,10700000,2740000,80,0,High Volume,2,767,74.85714286,100,25.60747664,70
10261,3500000,1140000,80,0,High Volume,1,591,54.28571429,100,32.57142857,90
10262,3500000,600000,95,0,Unstable,0,838,63.28571429,100,17.14285714,50
10263,4400000,320000,90,0,Low Volume,1,521,62.85714286,100,7.272727273,90
10264,5200000,800000,80,0,Unstable,1,484,59.14285714,100,15.38461538,90
10265,8000000,1440000,90,0,Unstable,0,505,73.14285714,100,18,50
10266,6000000,350000,85,0,High Volume,0,580,64.42857143,100,5.833333333,50
10267,3500000,2970000,75,0,High Volume,1,680,51.28571429,100,84.85714286,90
10268,4200000,410000,80,0,Low Volume,2,841,56.28571429,100,9.761904762,70
10269,4900000,280000,80,0,Unstable,1,759,58.28571429,100,5.714285714,90
10270,3200000,1440000,90,0,Low Volume,2,664,59.42857143,100,45,70
10271,5000000,2930000,75,0,High Volume,0,612,55.57142857,100,58.6,50
10272,3500000,1280000,75,0,Low Volume,1,585,51.28571429,100,36.57142857,90
10273,3000000,640000,100,0,Low Volume,1,748,64.85714286,100,21.33333333,90
10274,3800000,1350000,95,0,High Volume,1,698,64.14285714,100,35.52631579,90
10275,5700000,540000,70,0,Unstable,1,643,54.57142857,100,9.473684211,90
10276,5600000,1670000,90,0,Low Volume,1,619,66.28571429,100,29.82142857,90
10277,5100000,290000,80,0,Unstable,0,475,58.85714286,100,5.68627451,50
10278,6700000,290000,85,0,High Volume,1,747,66.42857143,100,4.328358209,90
10279,6500000,620000,80,0,Low Volume,2,673,62.85714286,100,9.538461538,70
10280,5300000,890000,100,0,Low Volume,2,640,71.42857143,100,16.79245283,70
10281,5100000,710000,85,0,High Volume,2,625,61.85714286,100,13.92156863,70
10282,5200000,1730000,80,3,Low Volume,2,549,59.14285714,40,33.26923077,70
10283,4800000,2850000,95,0,Low Volume,1,715,67,100,59.375,90
10284,2600000,780000,85,0,Low Volume,2,831,54.71428571,100,30,70
10285,7000000,4230000,80,0,Low Volume,1,788,64.28571429,100,60.42857143,90
10286,5600000,560000,85,0,High Volume,2,589,63.28571429,100,10,70
10287,3500000,370000,80,0,Low Volume,1,663,54.28571429,100,10.57142857,90
10288,7700000,2120000,80,0,Low Volume,2,524,66.28571429,100,27.53246753,70
10289,4200000,780000,70,0,Low Volume,2,449,50.28571429,100,18.57142857,70
10290,4800000,1140000,70,0,Low Volume,2,850,52,100,23.75,70
10291,6800000,1640000,65,0,Low Volume,1,803,54.71428571,100,24.11764706,90
10292,5300000,1010000,60,0,High Volume,1,609,47.42857143,100,19.05660377,90
10293,7500000,200000,65,0,High Volume,0,784,56.71428571,100,2.666666667,50
10294,4500000,760000,75,0,Low Volume,1,810,54.14285714,100,16.88888889,90
10295,8300000,1930000,80,0,Low Volume,1,501,68,100,23.25301205,90
10296,4000000,700000,75,0,Low Volume,2,728,52.71428571,100,17.5,70
10297,7400000,1500000,50,0,Low Volume,0,533,47.42857143,100,20.27027027,50
10298,2500000,1570000,100,1,High Volume,1,683,63.42857143,80,62.8,90
10299,3600000,1860000,95,0,Low Volume,2,850,63.57142857,100,51.66666667,70
10300,5500000,1460000,85,0,Low Volume,2,819,63,100,26.54545455,70
10301,4400000,640000,100,0,High Volume,1,740,68.85714286,100,14.54545455,90
10302,4900000,670000,65,0,Low Volume,2,773,49.28571429,100,13.67346939,70
10303,5100000,1910000,100,0,High Volume,0,491,70.85714286,100,37.45098039,50
10304,3500000,1630000,65,0,High Volume,0,646,45.28571429,100,46.57142857,50
10305,3600000,870000,85,0,Low Volume,1,732,57.57142857,100,24.16666667,90
10306,5400000,1600000,60,0,High Volume,2,708,47.71428571,100,29.62962963,70
10307,4100000,1550000,80,0,High Volume,2,612,56,100,37.80487805,70
10308,7500000,450000,85,0,Low Volume,1,755,68.71428571,100,6,90
10309,4700000,770000,80,0,High Volume,2,773,57.71428571,100,16.38297872,70
10310,6200000,470000,90,0,Unstable,1,436,68,100,7.580645161,90
10311,5700000,790000,80,0,Unstable,1,608,60.57142857,100,13.85964912,90
10312,4200000,2520000,70,0,High Volume,1,556,50.28571429,100,60,90
10313,2800000,840000,70,0,Unstable,1,655,46.28571429,100,30,90
10314,7100000,1510000,90,0,Low Volume,2,822,70.57142857,100,21.26760563,70
10315,3700000,1130000,70,0,High Volume,1,612,48.85714286,100,30.54054054,90
10316,4400000,870000,95,0,Low Volume,2,573,65.85714286,100,19.77272727,70
10317,4800000,320000,100,0,Low Volume,1,744,70,100,6.666666667,90
10318,4900000,780000,55,0,High Volume,2,523,43.28571429,100,15.91836735,70
10319,6700000,1030000,95,0,High Volume,0,680,72.42857143,100,15.37313433,50
10320,5000000,1190000,100,0,Low Volume,1,683,70.57142857,100,23.8,90
10321,4800000,1160000,85,0,High Volume,2,748,61,100,24.16666667,70
10322,6800000,510000,90,0,Low Volume,2,728,69.71428571,100,7.5,70
10323,6000000,1110000,95,0,Low Volume,2,708,70.42857143,100,18.5,70
10324,4000000,2540000,75,0,Low Volume,1,785,52.71428571,100,63.5,90
10325,3500000,730000,85,0,Low Volume,2,684,57.28571429,100,20.85714286,70
10326,3900000,620000,60,0,Low Volume,1,597,43.42857143,100,15.8974359,90
10327,4900000,1170000,80,0,High Volume,1,676,58.28571429,100,23.87755102,90
10328,3400000,1530000,85,0,Low Volume,2,556,57,100,45,70
10329,5100000,1580000,90,0,Low Volume,1,588,64.85714286,100,30.98039216,90
10330,4800000,160000,95,0,High Volume,2,592,67,100,3.333333333,70
10331,2300000,730000,70,0,High Volume,2,753,44.85714286,100,31.73913043,70
10332,3300000,610000,70,0,Low Volume,2,556,47.71428571,100,18.48484848,70
10333,2100000,1170000,100,0,Low Volume,1,701,62.28571429,100,55.71428571,90
10334,4500000,1210000,80,1,Low Volume,0,541,57.14285714,80,26.88888889,50
10335,6900000,910000,85,0,High Volume,2,708,67,100,13.1884058,70
10336,2800000,710000,80,0,Unstable,1,729,52.28571429,100,25.35714286,90
10337,3400000,540000,70,0,High Volume,1,704,48,100,15.88235294,90
10338,4800000,530000,100,0,Low Volume,2,611,70,100,11.04166667,70
10339,3600000,980000,70,0,High Volume,0,569,48.57142857,100,27.22222222,50
10340,3600000,1110000,65,0,Low Volume,2,693,45.57142857,100,30.83333333,70
10341,5900000,340000,75,1,Low Volume,2,662,58.14285714,80,5.762711864,70
10342,4300000,1340000,50,0,Low Volume,1,698,38.57142857,100,31.1627907,90
10343,3200000,160000,70,0,High Volume,1,672,47.42857143,100,5,90
10344,2700000,590000,65,3,High Volume,1,377,43,40,21.85185185,90
10345,9700000,680000,90,0,High Volume,2,792,78,100,7.010309278,70
10346,7000000,2020000,70,0,High Volume,1,716,58.28571429,100,28.85714286,90
10347,4400000,480000,95,0,Low Volume,1,744,65.85714286,100,10.90909091,90
10348,5100000,0,100,0,Low Volume,1,602,70.85714286,100,0,90
10349,4300000,0,90,0,High Volume,0,632,62.57142857,100,0,50
10350,5800000,940000,75,0,High Volume,2,589,57.85714286,100,16.20689655,70
10351,3900000,1490000,80,0,High Volume,1,726,55.42857143,100,38.20512821,90
10352,4200000,2140000,55,3,Low Volume,0,438,41.28571429,40,50.95238095,50
10353,5700000,1520000,80,0,High Volume,1,702,60.57142857,100,26.66666667,90
10354,7700000,1490000,65,0,Low Volume,1,761,57.28571429,100,19.35064935,90
10355,6200000,730000,90,1,High Volume,1,843,68,80,11.77419355,90
10356,7200000,960000,100,0,Low Volume,1,773,76.85714286,100,13.33333333,90
10357,4600000,180000,85,1,Unstable,1,671,60.42857143,80,3.913043478,90
